Backprop_Step,Average_Loss
0,0.22225437
1,0.19047217
2,0.15140416
3,0.12434215
4,0.11082866
5,0.10870547
6,0.099289685
7,0.09448838
8,0.09812374
9,0.09524188
10,0.09514682
11,0.09217828
12,0.09439576
13,0.09057078
14,0.0938982
15,0.09073735
16,0.08833145
17,0.089960985
18,0.08239684
